id,type,name,passwd,sex,dept
0201020,1,钱囡囡,;TQ(iM7^7U7>dKU?OJ=zIdkUpj7lya-N,2,文学院

0301021,1,康以云,Z<=B@;]7KGK8_S.!BO62R1aC*e{#.4Bf,2,数学学院

0401022,1,萧晶辉,"2E7>SHS<7(/D34c67V""[X_~QLX3qR1^)",2,物理学院

0501023,1,于三婷,"Zv:T/C\BR/f05od&j""*gq?A?i|9?gX^F",2,化学院

0001024,1,林如曼,g.UD6q%(60oed_YmZA%l&~MbdpUp3O$=,2,计算机学院

0101025,1,毛如曼,"v^*b__-K.xIwN,n_oEZ4PN?PqTV%+=55",2,教育学院

0201026,1,魏紫易,)AO2WTV6<aS?DaiRs6$.3%=A[3z5Q$[y,2,文学院

0301027,1,漕晓洁,X+;KB~i%;FN!9*H!Jz>f;Xc1@k0#+W7/,2,数学学院

0401028,1,方昭昭,R4t';73n@Yj+J_Q4]&qlpzq{M-@ZEeLk,2,物理学院

0501029,1,高旦娅,H;>0j*|-H-@DD#7CHzaByiWm1/JNvH\$,2,化学院

0001030,1,傅方雅,"LGS#$r[|&:Hu!o%8^|]&JE0a{r}xo$,f",2,计算机学院

0101031,1,黄以彤,R|5zKM;_;S~jGB33n^(gbopB^68n+1b=,2,教育学院

0201032,1,高丝柳,XN0^tn=m.)ek]!|kzl&IG4\@m_UAP3&~,2,文学院

0301033,1,唐子凡,",%0a_oAC9DRYo(N+),Qbkim2d>o'N!d;",2,数学学院

0401034,1,宋琼音,"f,9HGOwdaUEx93;fjP=Kb:G^*3rZq8xb",2,物理学院

0501035,1,李清逸,y_lsC:h78H2LNl^A}*.-cNP@B+y{Or[3,2,化学院

0001036,1,程知睿,@yGAgVG6<7k7|}6|lXy8gAJ[(E0qn_(s,2,计算机学院

0101037,1,金紫夏,"|0GB)K6aIYX/cf0@r/1],MEL~JAnB^tg",2,教育学院

0201038,1,李莉娉,jL%pimwwuzGLP4zl/rJs\5O4Y?9pp@p|,2,文学院

0301039,1,金清润,ISCx5xV)hO1xyICAZ>#Wy+#voLV353[I,2,数学学院

0401040,1,叶雨莹,BmSU#B|{dEOB*$-W*bER;[sKkm$L0;^m,2,物理学院

0501041,1,何文心,4q+M8|p%#<=n&C(x{-OUR}+0F1cn|?LF,2,化学院

0001042,1,崔天荷,/seA8al_%X8wku$2#4^'L[f)pJxn@@z9,2,计算机学院

0101043,1,孔海莲,=K)I}eOhGqQcyTSej&Y[JkVPAN#Y=tO+,2,教育学院

0201044,1,蒋秀琴,!hEV)]xvqB1B'Fr[K1|yvq&8m.mJj4/w,2,文学院

0301045,1,武之双,"bQ~c,u{v,ZrnH~VaW_}R}U&PP3}A67#]",2,数学学院

0401046,1,萧初月,b;OGwu~+!^]Q/e%i2s><m~/aInXwnfZ8,2,物理学院

0501047,1,杜秀华,]&T+_m(Ev#C[#/9+ln-G%sC|r{UNu}2S,2,化学院

0001048,1,梁盼曼,"$!k@:ixuo;@5k,w;zb]LixafK7z<u}$3",2,计算机学院

0101049,1,韩友琴,"y_vT,k@54G\6-""FJto+hOO)HnNYa>hpn",2,教育学院

0201050,1,黄莞尔,"7>x[.d==|Fju-56,Ty;sXPG*A}h8_Hdy",2,文学院

0301051,1,孔冷菱,"m_oE~,5g=7_X5RT?hJHj7<wUY>-Vr.w]",2,数学学院

0401052,1,胡雅莉,">B;v|?O)\mlMx#Kdt!_-Cr-$u|$Y\),^",2,物理学院

0501053,1,姚妙菡,"E-z[O8V~(*qV--p73K8,KojR}E8?*?Zg",2,化学院

0001054,1,彭薇歌,Cu8R4JsxA.ej*sAF}5$vhOaFykf]$JDj,2,计算机学院

0101055,1,钱代双,<rb)||#EZc7xc-;PIre[[fOO':WNA\)U,2,教育学院

0201056,1,金冰蓝,@GjrXEO<23}OH@fHQ=hjJ[Q8|dX?]K{p,2,文学院

0301057,1,孔紫薰,"1],./oLDTuEoSN07{y>bEg%h-,QLH#B*",2,数学学院

0401058,1,潘晴美,/f066>dS0fm[|F'M\B[H(CmN@'{*ZKV{,2,物理学院

0501059,1,周雨晴,L/t*YmmY(v6+~s/j'qy$uNFy:)]3~HSD,2,化学院

0001060,1,陈宜春,L9]HA)&9dv:i8BwRIN%B(e;^ihn<;>LB,2,计算机学院

0101061,1,阎千怡,"PR<H*8_XE^GuHqK1rGM\D""BzsW|])/eZ",2,教育学院

0201062,1,龙依婷,q#5eteMO8JPwV(xf5+H\HM2e6J:E^+V4,2,文学院

0301063,1,马佳思,"V8D'~L\;L8Ky}meX,ey3E|Kt3['{-pkF",2,数学学院

0401064,1,苏和美,"{0{ic""IZ';BZsovoku-U|:et(]l'4'Ig",2,物理学院

0501065,1,江忠燕,"x-*~pP_&QF$:,HIP#1+;:a3/(P_$#!{H",2,化学院

0001066,1,白心宜,"OLHreXxm1@c&'0b%<]&7$/h""l{qh|cP}",2,计算机学院

0101067,1,龙莎莉,cq7o@U0Eu5>]^q%jw2brQ'cW6V{Y8[l?,2,教育学院

0201068,1,龙丹丹,Q3S!Y2!ZE~nY)wt<KGG<R//R_asU8V!i,2,文学院

0301069,1,段诗双,"P\S2~zPc{~q}X'=hBESWO],EX*u8!o91",2,数学学院

0401070,1,黎竹悦,";R""{u%05~qVXt[yX#zf""\?~JjY'9<9H6",2,物理学院

0501071,1,汪悦玮,n1ppt?y&^>yBbz'HZPz_(P%q!GIrJ;q},2,化学院

0001072,1,谢姣丽,r4i<x||||%MyXoj>MN.BLMxLPCnW?ePQ,2,计算机学院

0101073,1,薛书芹,"T)DI>**tpL$saU{,1x$QHJ:~z()pP""LR",2,教育学院

0201074,1,薛秀敏,W#jH\Ni;m{r/XKAUEMo{7O_;+S(mZ1*;,2,文学院

0301075,1,孙洲裴,D'cG^mtZCr2#7c~_GFuo:1$-zpZuc?TY,2,数学学院

0401076,1,文语兰,eWZWmypqUq=_KN4:a-p}G(&gcKM_pH#<,2,物理学院

0501077,1,夏雪漫,"T$m2/1'xm/0x\57iRV&q%~[BA}#+A.,n",2,化学院

0001078,1,潘津文,%>I3QRS/589n%mdj(s.q5:BG3S^&duhm,2,计算机学院

0101079,1,石莞尔,jv;5+BUo5u{8JK+Opu(T{xU390qayc!9,2,教育学院

0201080,1,江以柳,"3a/LqN&9$'3(tWI,K""U_6!Zy,,Ee?#lj",2,文学院

0301081,1,崔情文,Pawc5|8*D'hGnU#%{Pl'K~A;]G&A:TB4,2,数学学院

0401082,1,范飞绿,"tPON""/?GN8CvAB*7s7y(~G&sWB;,o0>q",2,物理学院

0501083,1,韩韶华,"#A5tro5^7i9G[zntgp?ZGp7,i<hy?\]K",2,化学院

0001084,1,文丹秋,"2}|>L-S%:Fg<Qlyi_vp-'BcJ[K9G,GKB",2,计算机学院

0101085,1,钟凌春,c7HUW:sS/;;|_PL#{JM@:>PuoX$cc}1},2,教育学院

0201086,1,罗妍茜,N-kc.l(ms4rN2^PBb-D$NctD7mEfxV0~,2,文学院

0301087,1,宋暄妍,"s[V>+Zj9v?l?wbXTS3HuvU52t,wg06|Z",2,数学学院

0401088,1,邓会欣,{jwwh9^65;%?;C9Pyyq.}GNss.tC31M),2,物理学院

0501089,1,萧白易,km207h3v'~1VJ'rfYW+1xTSzI/?'uDn[,2,化学院

0001090,1,黎幸瑶,T+xu;b^fR$AXC@?8(;$T'?L75h5ZGo>/,2,计算机学院

0101091,1,姜淑婉,<-#RcUtfK=*y3|Z$QC*ZN|{Mv*GlF7r\,2,教育学院

0201092,1,贺蝾婷,">LkcBS}A,mAMbQO'kI])))PG0!Ue0%go",2,文学院

0301093,1,万恬萍,"ePio!QuraGc3,4K&?.-tg(mJdyjR1yZ|",2,数学学院

0401094,1,张燕岚,#+m)%.1Dz_KgCqjS7\Df/}a](_RHMm=Q,2,物理学院

0501095,1,卢燕楠,r%$=3jdi6#v+OtuC#DZ[qKbgn0/=6_f|,2,化学院

0001096,1,潘奕叶,"BT3#F$N<C""^~kDeqra#anp84\1M,Q&B_",2,计算机学院

0101097,1,许向珊,ntX~KM<W>z@mLb]dLqD{b4t=|Y\-_[]',2,教育学院

0201098,1,郭运馨,Fu_\<ucPE{=1&M5(dfz<)K!/RQL=$5-i,2,文学院

0301099,1,何宜然,"YPuqQw#_F-F""#*4ZV]Q)>.Y3-%'7A0uy",2,数学学院

0401100,1,苏怜梦,RC*i[4moCvixb^dZ(XJ?'v@(1gB<qPMh,2,物理学院

0501101,1,康吉月,"uhbR8s@Hfk;TdCx%hor[g+""vrZ7k|:>w",2,化学院

0001102,1,梁仙韵,"FuM<=8i]3J'j26X/BW-KBX6-_\NZ,0ml",2,计算机学院

0101103,1,朱水彤,(;QM{llzKO_4X*#xzzm/k-Tp7WKS!PFi,2,教育学院

0201104,1,许妙可,",IO8~NN!sH|Cga\*4PvMY%0mqpZB^=jO",2,文学院

0301105,1,汪温凉,V*Q6jii=/\'}!Wd/jGW7n=l<M7g8@h!|,2,数学学院

0401106,1,文悦喜,A(/MKlMpGE$z;R/JOu*#LH1T%clfSvh>,2,物理学院

0501107,1,郑燕艳,BL_SpiKA.S+BD#{2yH9Q)-H[_}4pf[.n,2,化学院

0001108,1,刘柔丽,zdG94haME)#C6kEwa9je<3BA1beiUEJl,2,计算机学院

0101109,1,乔雁荷,eN=Gk8o~Ym|xQ-GxW/~9qPoxL<f&Bzax,2,教育学院

0201110,1,蔡冰巧,"nXG0ITv&(H8LBYN$K_i{56Uvl2n""aq4<",2,文学院

0301111,1,郭妮娜,"ijF""$wr#PB6._I$P'zT<0[G53;m-|&oy",2,数学学院

0401112,1,史歌韵,"?a7UijOIT&'Q6/$5LTA_~w7?U""0.dm$#",2,物理学院

0501113,1,方谷玉,zr)D1+trDaM8{G{QN[AKx9vgoBgHjDq<,2,化学院

0001114,1,邓艳霞,HZ(yadqz[.ERlsM|>yS@GA3Mn{a7Bcey,2,计算机学院

0101115,1,马阳阳,|<&4)r|O8\=j*$;^H[fe*5:29Uy96G(h,2,教育学院

0201116,1,余音韵,"cx9@iQ3.L.)=q!{3,ZXPwpCjaOA4""\?f",2,文学院

0301117,1,毛晗蕊,"_}Cwp,Pt$BS=\H,V)KF1""<=oY<iDt#1Z",2,数学学院

0401118,1,许淑然,"{FW{_W9h3h)F&laEyia-[0oA""]K^y/nd",2,物理学院

0501119,1,孟芮澜,fOJUmpQ29QQKHRru/!:}@Yv$N.siTH6H,2,化学院

0001120,1,于梓云,Vw.RkxSZ.%R=S=Sv>^/sWWkyI^P^-?r9,2,计算机学院

0101121,1,龙宛凝,=@hS$bDJ%bhHi?NF!S|4aNbz=stgW=(x,2,教育学院

0201122,1,蔡娅思,"QN""tT.u=zC{{W08U*W8h.Gv0-skm(%T$",2,文学院

0301123,1,周幻丝,"]XAfHI=)(LKBZ?zbV""ElnSYNCPAP*iyh",2,数学学院

0401124,1,孙葛菲,"fzJzTeK0TcS<9p%""Z83\?S0;H25Om=Nt",2,物理学院

0501125,1,彭映雪,"NdF0W\OV,YeyV<lFN3%wVsAKM^,'asjX",2,化学院

0001126,1,汤冷亦,"i+iHk{y_i\Q,CBRGfm-{_+b""@/:c{e.)",2,计算机学院

0101127,1,杨美玲,"AHiHwAZ0B6Q,*P~9DkG;|Tb&8B7T5S&C",2,教育学院

0201128,1,郭炜婷,7_w@Wv2YtoZ!|I?;^O1}=A_BVJ'y|>RU,2,文学院

0301129,1,袁千秋,2H0203|AHI@~~Z'>#9v1Nip9jB5&|SE&,2,数学学院

0401130,1,宋水香,>/ooGRa3##CutKe9)5:c5dc5ncklhN6R,2,物理学院

0501131,1,武香薇,"ugB.GC}zg@gs%_|G8*lOp,lyCL+Vb}e8",2,化学院

0001132,1,尹卓逸,"x#>}b4g|+W$,iyL0F2!-dE_,""p-4jZR8",2,计算机学院

0101133,1,赖语风,"gZUE*\Chg+N""5Rp?o_.tSNW-jW&4{m!A",2,教育学院

0201134,1,白代亦,"610tO:cSNOiI21T'""+XS03Hg1d7#N#-M",2,文学院

0301135,1,何纪颖,"BA7(<SLX[.G>oaWe%ltXq<@/""5TKpB}#",2,数学学院

0401136,1,冯晏如,ni\HeKBk6Vf5<]wdIu#LZYB\y5m!9dZ+,2,物理学院

0501137,1,萧思宸,"E/vEpg\kI]kySuLi3&~rAXt/0""Z{D'wB",2,化学院

0001138,1,王谷南,";:2_&_C,Tgt;!ZG<'@yo]P+&<M~aR+DQ",2,计算机学院

0101139,1,石卷玉,^@8xGWhUgL&s%@S6*\Os7ThbgJU.%pBt,2,教育学院

0201140,1,冯铃语,t\H1l[s8#Dbl(]Z*h+QzpDQ%4_M=55ut,2,文学院

0301141,1,许芷蕊,mR_fE<b1P?X9BS^1Ggo/-;XNbK4Gtl=R,2,数学学院

0401142,1,陆翠柔,"dN[wFIUh8);""ngCk7g|jd@0&kOZkNeq&",2,物理学院

0501143,1,黎纪颖,u13V?6{ed&eH3Tug64XWoAb<4aWXIZQK,2,化学院

0001144,1,程雪柳,":;U#Kmd@HX=GTJIedPa'cll6,N\Bo=p5",2,计算机学院

0101145,1,萧文霞,"6k(o,HY""v$~.RftfO{*I6=+e&^c3gTL|",2,教育学院

0201146,1,傅平安,N)Mw]U*w\26]\69o>TX8^E|TCtY4_&{1,2,文学院

0301147,1,徐英楠,"tMq),>tJdoxXJFQo)|cIFP[pL3,YSZ:F",2,数学学院

0401148,1,邓绿柏,N#4LOP18f/gq*pPzx5%HGxF#;bIC>Wb$,2,物理学院

0501149,1,孙雁卉,"yf6(?gh,*'1|EmJNGMdy$jmfa8x?6wSy",2,化学院

0001150,1,孔白柏,l0i&[3.7#)jpTm/lv:DsoJ65-a-ER4k0,2,计算机学院

0101151,1,王涵雁,"L""YQKC/4'^J4d+oS=mE]mea!~6n/,hB~",2,教育学院

0201152,1,魏合乐,JFVw=AO5v2CiyG@)K&Eq(ru+>1_xvo%0,2,文学院

0301153,1,龙野云,"bWbD+B,VOG4>EfH+o^2Agv%~0]n5nmqJ",2,数学学院

0401154,1,贺兰七,45i/#vYU85oDjU[j5/''5)%I{$7eYyS^,2,物理学院

0501155,1,孙嘉歆,VuSw/mE>T[oYk{RQH8Wn\\el(EJa<t~=,2,化学院

0001156,1,谢西华,vcF6v9I7?4%K}v'kKQ!vj}^$fE(ew_v.,2,计算机学院

0101157,1,白甄梨,ATl:7LuUKzf)8*bwGGJ]8@GU|G.QfpMD,2,教育学院

0201158,1,万恨天,n5Dl*_y(bawDK)u@Q'vv6Q{<r\+XGyO@,2,文学院

0301159,1,范许暖,\s+0x'2GOp-%HJYjAFZp%#6qJ0-@QeUO,2,数学学院

0401160,1,卢菊月,"^18=z5hj0PepjD,1r^[SN&6;&ELr0a^Y",2,物理学院

0501161,1,郭晓亦,"^7h|6'K!SU,fJ(7)r@4uSB|1MQ_jNR)[",2,化学院

0001162,1,陆生文,uM)<tiZGZ(+F8&q4f;V_Ffsz<@7nk32f,2,计算机学院

0101163,1,田彦慧,Ce&Ag(Xxs=ly&_&Vig1$aP[-B}yD^D4H,2,教育学院

0201164,1,卢芮丽,9N]EIFSlioA<lBn?ATD*;4whK!%qTrFl,2,文学院

0301165,1,白清婉,"""9&GWP""w)5^BEoPW&A*d?{^yzhgsXT]>",2,数学学院

0401166,1,高紫山,"7T*_<z_cA,_xDfh6}(Vkytni=#-oR:~6",2,物理学院

0501167,1,邱曼吟,^F&m\c}w*|_m07PbW1X-k^Z{c6PVfKEp,2,化学院

0001168,1,曹臻晰,",+ka&EG@gxO.zLw3xssyd7/p'nLiVG'B",2,计算机学院

0101169,1,汪清妙,"h?r>MK79gd+?]rM#VIBc2dA!e6<""5qh&",2,教育学院

0201170,1,常翠萍,/~cGIHlQ>S<6r7nT7bmopz9SKo[v3>ch,2,文学院

0301171,1,廖真茹,.Qo2tv]0#znU>BTDW[DYh+pR'nICR=:p,2,数学学院

0401172,1,武司晨,bbBH%dIy(bgXr%1}1yv00QYfrP$}q7I^,2,物理学院

0501173,1,孔悠柔,@.0jfXFOloH'$>*7T'x~+EnQ3[27atd#,2,化学院

0001174,1,贺寄柔,eCL@_:P6=8M:xX].OpChj_pGc/|dEn(\,2,计算机学院

0101175,1,熊菁菁,"}5'6*fQV/s*w9B/ICtl\""H3|H[[Z$-Qq",2,教育学院

0201176,1,韩明轩,ZoqwK3:H|Ch'J|M<}ye\59?8Kc&-35G=,2,文学院

0301177,1,段湘怡,"lSZ.M#4A(9rLLcyyJ=!=q|,^~K/aOU_v",2,数学学院

0401178,1,熊馨婷,"W&.FV.Gs_czP#\M?,4H?L@&:zt$M(9eR",2,物理学院

0501179,1,汪太文,R+yeKB7?jRpcBG_nn}&EV]:~9sYpa|6P,2,化学院

0001180,1,陈顺美,"4Kk\TO&q""f#968f:diA3PJv_n~EF6#0T",2,计算机学院

0101181,1,武方玉,"Z;fD>Sa;#CX^Ovv^Ix_GmHz4m@T_/,oR",2,教育学院

0201182,1,任汉玲,*KS&uzP\C?NTn7i!w?c#xyzWBwC.O:ck,2,文学院

0301183,1,高凡阳,6Gb<a0-Vb~dZSs?kVQsG6_r%->IsXf'4,2,数学学院

0401184,1,傅致萱,[i0hZ8>?8k5m-<)9VF'9INC-<1S_#)wG,2,物理学院

0501185,1,曾婉仪,"A(#yl/^SP%far$!VUboU67auWB""qsz{c",2,化学院

0001186,1,彭桂枫,"@![.|""(;qGEa,Nr48&0<nYP#I%z#70q}",2,计算机学院

0101187,1,蒋南晴,mxUX%4h_l|a/*80%xz5]uQ{\8v*3*]3;,2,教育学院

0201188,1,任明熙,Y&LQI!mF]ya*:r!gODBb#bjhK~v+28]E,2,文学院

0301189,1,吕苏弥,Xqrh==LZq#&\H4B>*kEI_K&Bk(fJ<6n',2,数学学院

0401190,1,刘亦瑶,"LZbR/O:sh9CD|,R:{@F""2z4]zYn}!e:""",2,物理学院

0501191,1,文春枫,"*Gh5fQX\4S|Ct7W/Lx^MK""JTlz%6lZ{/",2,化学院

0001192,1,任影梅,"I|SgqPi%c""%zT3""q\68/m;Tv""4RgAfoi",2,计算机学院

0101193,1,漕亦绿,J'9R8NGpAOy2H8ufgR%jTy2t@FH#i0B:,2,教育学院

0201194,1,王莉娜,"Ds;ue[@uA/B#rY-""*Ix7g/ta_E(-@nou",2,文学院

0301195,1,侯依辰,"i=*sc4p.}8B,_}4C|/Bpn~>f$ew@AOGU",2,数学学院

0401196,1,吕锦文,g4i5[PoY1jlEU=|I])~QnC\/I#B&!mRT,2,物理学院

0501197,1,石曼易,$zwKJlG>87%QjrP_h9R|oc/9*vbPJt{a,2,化学院

0001198,1,林兰七,"VI}nE>FAq'/T3.+.""Z""<j=GgM]A)0*Xd",2,计算机学院

0101199,1,潘云露,9lZH<6tJMd+SlXpDK*W9h5CzL#Nog1s%,2,教育学院

0001200,1,朱力夫,"!ZSL~w[lk^8!k}e@+IrryU5,dE0#cT~S",1,计算机学院

0101201,1,易温文,%1vmU^u'iS1@.tPdZL9&o9:xg(//{]AO,1,教育学院

0201202,1,钱承志,"9vHt""NEit|9aC}[nfax#@s@Ccpu*Z/zO",1,文学院

0301203,1,毛良骥,%~uTejaonsy1kbrFw|%ZlF}mZ6BY}Rdc,1,数学学院

0401204,1,蒋天路,VVQ#M(?<r=QFo[|T;jGd]CIVma'-.|6I,1,物理学院

0501205,1,张乐成,Uj7I#?@VCdR0X6BBE7ldf$H-Dpm8GF'-,1,化学院

0001206,1,魏睿慈,"X%N_}.ea&N*yF{k""sa]@O@%?U_7Nd@[W",1,计算机学院

0101207,1,龙英豪,"GAM%[._Dqh\9iP.yl9C1D,0q8vDhLRPi",1,教育学院

0201208,1,陆博达,"{wVQ<)}X(%%mYeN^s#:3,-*S*?$qgjU-",1,文学院

0301209,1,顾彬炳,udC<az<0o!@*'a\#D>}oQa^aZ0ls&NBz,1,数学学院

0401210,1,郑英叡,f;T{1y(]qN+v4ms\xl|Yj/!\4\76yG6|,1,物理学院

0501211,1,沈高飞,"gx:|""[6CRQ~(l4@MlBd1upq&\}ZR{o+z",1,化学院

0001212,1,尹弘致,"=^5K=+Px>aq}CP-h$se""Y,_2&\@S*N(?",1,计算机学院

0101213,1,崔锐逸,"9%?Aid?%@&wI""g=KQ\:sqb5_+R?6pgQ5",1,教育学院

0201214,1,陆永怡,"Y2e\(P{$'n^:?#dCYkc&@""ntmL7SO+-P",1,文学院

0301215,1,吴俊彦,"SWqVnbDNMj\AH$A:ENV&M[InL'I""k/Lr",1,数学学院

0401216,1,萧俊悟,"OlT?/fp!Ee;.""84,O""u0Gvn:rKhyA)'$",1,物理学院

0501217,1,孙博简,m{7ih/+T/cM7=|LTMy{HeS9^s9&*iO8I,1,化学院

0001218,1,周华皓,:l[CP[Ct]+rSdVC9ClR3b_VVuVeT1W!L,1,计算机学院

0101219,1,谭学博,Z~F.A+Px@T]YMX0jxl0F;I66m<cG<V$V,1,教育学院

0201220,1,龚自怡,w8p<Dtp$|;Cl-wprG:^@+k$1WFBaGX]p,1,文学院

0301221,1,魏翰墨,"<1ql7'Xwe)P=H9Xm0kc!V[4%Sj""G4g/v",1,数学学院

0401222,1,薛德本,/o-c&cJ%xSB>/'o?o&px?Jyzdbl*'@|7,1,物理学院

0501223,1,李正志,"nd@y>z6+_JO\+H?A_9,2;~8v&&8u#tk]",1,化学院

0001224,1,龙宏儒,@&Ix;^s\nR7X^'5aQ_^F2oPcW<#3OxLY,1,计算机学院

0101225,1,孔季同,"MT+Ea>4m;Y+/pf5o/,Mn$]R_6%F4JSAP",1,教育学院

0201226,1,方永寿,:CdIE)=)&09Xo\m#PcX!Y_$.l5Jm$&&-,1,文学院

0301227,1,何俊侠,2&!iqg;0Pe2@b3(va;Ch3;xKJNWuZJ#I,1,数学学院

0401228,1,徐文曜,"b-S\w6_5ed;m3>A9_F'im""*Q{Kua;0%t",1,物理学院

0501229,1,文正卿,.hIy0wrf^dXe4pZF9<oC/gzQVS|0.O{@,1,化学院

0001230,1,高俊发,"V?,5sYkZQJBNo-jZy]Bd3+<pYJWr""qaQ",1,计算机学院

0101231,1,范星宇,g1SBa}*qYt[z]IZiiQ?\:0u8t'!L_K\#,1,教育学院

0201232,1,石修真,No*cFb&|d8g:Q:U3=#Xy*wJa]kEwFA':,1,文学院

0301233,1,郑泰华,"[o~}DH2BjlmVwOkk}pJzxn_HYrNSO""AL",1,数学学院

0401234,1,方英飙,"4Uk""NMy'Ik?I||r|8O##LdJC!VgW__;8",1,物理学院

0501235,1,熊文虹,"K>9CsPA]j:\d;E(NPl6%/Y/Wtis|!~x""",1,化学院

0001236,1,谭天翰,c-0%hy|0PbB3cZ|xx5.ARD]vWzn~iXP?,1,计算机学院

0101237,1,许兴学,"E^K:__h'%0V&+nvmOwE[Z+M.""g-_2zK_",1,教育学院

0201238,1,邹泰清,Z#4q@%|rzve:ZU~:/k/]RicpCQ[y^|j$,1,文学院

0301239,1,秦良策,'A%b9z6vW[[x-_KWbd:CO4Td<E5Z9V[s,1,数学学院

0401240,1,龙俊发,z6Hdv\Pup&%ZJ_9a|5#YYq+E=;+upm2',1,物理学院

0501241,1,易俊人,"Unl]z+/Q?kY^nZ8b""r0e-Lp&T>+q]exO",1,化学院

0001242,1,何黎昕,"mVs=_fo\ROg:%,dDVep96xwbi?W!vej8",1,计算机学院

0101243,1,范乐邦,b/f>pKnT-4yZTIjp5weUSX&U.K@/+(r1,1,教育学院

0201244,1,常嘉赐,",yY.FPiD)4&aP[ZRh_4q<e,>?;*wsT58",1,文学院

0301245,1,蒋浩荡,Rs3oTMq1Z3QG*L5{AX)\4LMn]LLs3u^\,1,数学学院

0401246,1,秦奇迈,"x{JzE=CD~3@h%G*'Exg\.8=?,j]*V)db",1,物理学院

0501247,1,任星纬,TftJFZ<I\BGF28k|)|[\8|.'O:b[wxD6,1,化学院

0001248,1,尹良吉,p?3NW(*P[KSjS{[my6.kC\W*Tbt;.[_%,1,计算机学院

0101249,1,吕宜春,"-Ny/k^1!+w!@Yk^n/2h10BI|;qI4""eA*",1,教育学院

0201250,1,姜彬彬,EE}syh26Js?-Q7raeNc_uM}It<;ss{Ox,1,文学院

0301251,1,戴泰初,2sqL#dZVl4KV?/z!lBdrsCMgV~.iYbG/,1,数学学院

0401252,1,谭圣杰,"vCoI3>U[2Y<GIpB""ix'W-=[I1$71I(U2",1,物理学院

0501253,1,阎瀚玥,vLk\rU6IaM]H*OY+bgANmU?Cm*Ul]wli,1,化学院

0001254,1,赵星洲,M#UjIQOqcwjG1mr6kA%8==%b|T|YMk$B,1,计算机学院

0101255,1,赖俊贤,~ikO1>A&$-Wq*4{i62E3TqCD}'1?[XoE,1,教育学院

0201256,1,于滨海,"n<j4_oyF,*[\oAK3:GGh3#y_tyy+d//3",1,文学院

0301257,1,龚嘉许,"5EvW&ui.^~\5u?DUe#fOWh""13~u|y5Q(",1,数学学院

